City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,sciacca,37.5082,13.0881,26.68,61,0,1.83,IT,1689050597
319,xilin hot,43.9667,116.0333,28.57,37,65,1.23,CN,1689050597
320,egilsstadir,65.2653,-14.3948,5.95,87,75,5.14,IS,1689050343
321,miranda,3.2499,-76.2281,22.07,88,46,1.87,CO,1689050597
322,magadan,59.5667,150.8,11.5,65,100,3.52,RU,1689050379
323,peace river,56.2501,-117.286,19.17,77,100,0.0,CA,1689050473
324,nova sintra,14.8667,-24.7167,21.67,80,7,6.89,CV,1689050336
325,timimoun,29.2639,0.231,33.21,13,0,5.66,DZ,1689050389
326,polyarnyy,69.1989,33.4478,15.34,63,89,3.59,RU,1689050334
327,khanty-mansiysk,61.0042,69.0019,15.62,100,75,4.02,RU,1689050384
328,hell-ville,-13.4,48.2667,20.93,76,40,1.03,MG,1689050598
329,balqash,46.8481,74.995,29.33,32,0,6.0,KZ,1689050339
330,san antonio de pale,-1.4014,5.6325,22.56,85,94,4.83,GQ,1689050350
331,coruripe,-10.1256,-36.1756,23.3,84,7,2.58,BR,1689050369
332,hovd,48.0056,91.6419,19.51,39,52,3.28,MN,1689050598
333,khandyga,62.6667,135.6,27.01,40,19,1.53,RU,1689050371
334,touros,-5.1989,-35.4608,22.88,85,0,4.45,BR,1689050163
335,cadale,2.7603,46.3222,26.04,83,56,7.73,SO,1689050599
336,vyetka,52.5591,31.1794,17.08,77,0,4.0,BY,1689050599
337,tandil,-37.3217,-59.1332,4.82,90,4,1.87,AR,1689050599
338,wynyard,-41.0,145.7167,13.32,66,40,4.05,AU,1689050515
339,huetamo de nunez,18.5833,-100.8833,26.06,80,99,1.03,MX,1689050599
340,brisas barra de suchiate,14.55,-92.2167,27.1,82,78,3.67,MX,1689050599
341,parkes,-33.1333,148.1833,15.75,53,0,4.71,AU,1689050599
342,atbara,17.7022,33.9864,31.56,18,39,6.62,SD,1689050599
343,qamdo,31.1667,97.2333,13.61,59,100,0.3,CN,1689050376
344,rio tuba,8.5061,117.4317,28.92,75,71,4.02,PH,1689050600
345,mount isa,-20.7333,139.5,25.87,31,2,4.63,AU,1689050600
346,remire-montjoly,4.9167,-52.2667,23.02,94,0,0.0,GF,1689050356
347,brookings,44.3114,-96.7984,19.19,59,0,2.57,US,1689050389
348,susuman,62.7833,148.1667,14.64,32,24,0.49,RU,1689050337
349,senahu,15.4,-89.8333,17.21,99,100,0.27,GT,1689050600
350,drayton valley,53.2168,-114.9854,14.6,93,99,3.36,CA,1689050600
